,id,text,created_at,retweet_count,favorite_count,source,country,user_id,user_screen_name,user_name,user_created_at,user_followers_count,user_friends_count,user_location
23,1030072571948134400,"Our Economy is doing better than ever. Money is pouring into our cherished DOLLAR like rarely before, companies ear… ",2018-08-16 12:43:33,20786,85195,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
24,1029920861128720385,“I’d strip the whole bunch of them. They’re all corrupt. They’ve all abused their power. They’ve all betrayed the A… ,2018-08-16 02:40:42,28079,103609,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
25,1029918661165936641,"Mark Levin “When they had power they didn’t stop the Russians, the Chinese, the North Koreans, they funded the Iran… ",2018-08-16 02:31:58,29521,96954,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
26,1029911186949767168,"“WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT.” Can you believe this is the Governor of the… ",2018-08-16 02:02:16,33718,121451,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
27,1029899109749202944,“Hillary Clinton clearly got a pass by the FBI. We have the unfortunate situation where they then decided they were… ,2018-08-16 01:14:17,23431,88670,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
28,1029895689868853248,"“John Brennan is a stain on the Country, we deserve better than this.” Former Secret Service Agent and author of ne… ",2018-08-16 01:00:41,23892,89282,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
29,1029798446650277888,"Chuck Schumer, I agree! ",2018-08-15 18:34:17,29584,83585,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
30,1029745594540150784,"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horri… ",2018-08-15 15:04:16,19344,79067,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
31,1029743849160232960,"Happy Birthday to the leader of the Democrat Party, Maxine Waters!",2018-08-15 14:57:20,18393,90935,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
32,1029733227404189697,“The action (the Strzok firing) was a decisive step in the right direction in correcting the wrongs committed by wh… ,2018-08-15 14:15:07,16261,67225,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
33,1029731513573822464,The Rigged Russian Witch Hunt goes on and on as the “originators and founders” of this scam continue to be fired an… ,2018-08-15 14:08:18,18683,75671,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
34,1029727209316069376,My friend and very early supporter Kris Kobach won the Republican Nomination for Governor of Kansas last night in a… ,2018-08-15 13:51:12,11405,53591,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
35,1029724286121074689,It is about time that Connecticut had a real and talented Governor. Bob Stefanowski is the person needed to do the… ,2018-08-15 13:39:35,14011,60415,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
36,1029722249232826368,". won big last night in Minnesota. A big star in Hockey, he will be an even bigger star in politics. It… ",2018-08-15 13:31:30,9744,45019,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
37,1029719034756059136,“People who enter the United States without our permission are illegal aliens and illegal aliens should not be trea… ,2018-08-15 13:18:43,23490,83208,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
38,1029717928130818048,"Congratulations to Bryan Steil on a wonderful win last night. You will be replacing a great guy in Paul Ryan, and y… ",2018-08-15 13:14:19,9701,44818,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
39,1029717542842052608,Jeff Johnson of Minnesota had a big night in winning the Republican nomination for Governor against a very strong a… ,2018-08-15 13:12:48,10075,46589,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
40,1029716105420595200,Scott Walker is very special and will have another great win in November. He has done a fantastic job as Governor o… ,2018-08-15 13:07:05,10455,47997,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
41,1029712857724792832,Congratulations to Leah Vukmir of Wisconsin on your great win last night. You beat a very tough and good competitor… ,2018-08-15 12:54:11,10176,47361,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
42,1029706933706661889,Great Republican election results last night. So far we have the team we want. 8 for 9 in Special Elections. Red Wave!,2018-08-15 12:30:38,19087,89238,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
43,1029432932094668802,“Hope and Change in an Alabama Coal Mine” ,2018-08-14 18:21:51,12532,52855,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
44,1029355952414371841,"Lou Dobbs: “This cannot go forward...this Special Counsel with all of his conflicts, with his 17 Angry Democrats, w… ",2018-08-14 13:15:58,20710,80880,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
45,1029354577559281665,Strzok started the illegal Rigged Witch Hunt - why isn’t this so-called “probe” ended immediately? Why aren’t these… ,2018-08-14 13:10:30,21827,89500,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
46,1029352395464224769,"Fired FBI Agent Peter Strzok is a fraud, as is the rigged investigation he started. There was no Collusion or Obstr… ",2018-08-14 13:01:50,23834,95412,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
47,1029338578239795200,"“They were all in on it, clear Hillary Clinton and FRAME Donald Trump for things he didn’t do.” Gregg Jarrett on… ",2018-08-14 12:06:55,19471,72412,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
48,1029335579845115904,Bruce Ohr of the “Justice” Department (can you believe he is still there) is accused of helping disgraced Christoph… ,2018-08-14 11:55:01,16989,64816,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
49,1029332350969237504,Another terrorist attack in London...These animals are crazy and must be dealt with through toughness and strength!,2018-08-14 11:42:11,30596,129425,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
50,1029329583672307712,"When you give a crazed, crying lowlife a break, and give her a job at the White House, I guess it just didn’t work… ",2018-08-14 11:31:11,21404,90789,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
51,1029325115547369472,....should be shut down. The Strzok firing shows that the fundamental underpinnings of the investigation were corru… ,2018-08-14 11:13:26,15468,65300,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
52,1029323499226243072,....guy was corrupt and had anti-Trump animus. Strzok and others at the FBI should be criminally investigated for t… ,2018-08-14 11:07:00,13889,56602,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
53,1029321624603054080,Tom Fitton of Judicial Watch: “The Strzok firing is as much about the Mueller operation as anything else. There wou… ,2018-08-14 10:59:33,18664,74198,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
54,1029185314752000007,....such wonderful and powerful things about me - a true Champion of Civil Rights - until she got fired. Omarosa ha… ,2018-08-14 01:57:55,16793,73767,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
55,1029183344397955074,. called to say that there are NO TAPES of the Apprentice where I used such a terrible and disgusting… ,2018-08-14 01:50:05,16243,65734,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
56,1029180220690124800,,2018-08-14 01:37:40,16697,68782,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
57,1029180132630687745,Scott Walker of Wisconsin is a tremendous Governor who has done incredible things for that Great State. He has my c… ,2018-08-14 01:37:19,18350,75101,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
58,1029158545391054848,“Trump’s foreign policy is actually boosting America’s standing” ,2018-08-14 00:11:32,15019,61590,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
59,1029134567356149762,It was my great honor to sign our new Defense Bill into law and to pay tribute to the greatest soldiers in the hist… ,2018-08-13 22:36:15,14975,65158,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
60,1029105967068323840,Pete Stauber is running for Congress in Minnesota. He will make for a great Congressman. Pete is strong on crime an… ,2018-08-13 20:42:37,16492,62566,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
61,1029089559710236672,"Great to be in Fort Drum, New York with our HEROES! ",2018-08-13 19:37:25,10859,49133,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
62,1029069948214288384,"Just landed at Fort Drum, New York. Looking forward to making a speech about our GREAT HEROES!",2018-08-13 18:19:29,10852,63080,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
63,1029052803380076544,"Brooks Koepka just won his third Golf Major, and he did it not only with his powerful game, but with his powerful m… ",2018-08-13 17:11:21,10298,69489,Twitter for iPad,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
64,1029038164248338432,Wacky Omarosa already has a fully signed Non-Disclosure Agreement!,2018-08-13 16:13:11,14728,66250,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
65,1029037282676957185,"Just fired Agent Strzok, formerly of the FBI, was in charge of the Crooked Hillary Clinton sham investigation. It w… ",2018-08-13 16:09:41,28881,114019,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
66,1029036065158557701,Agent Peter Strzok was just fired from the FBI - finally. The list of bad players in the FBI &amp; DOJ gets longer &amp; lo… ,2018-08-13 16:04:51,24080,94361,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
67,1029022897787084800,The very unpopular Governor of Ohio (and failed presidential candidate)  hurt Troy Balderson’s recent wi… ,2018-08-13 15:12:31,14810,64083,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
68,1029010124881453056,"While I know it’s “not presidential” to take on a lowlife like Omarosa, and while I would rather not be doing so, t… ",2018-08-13 14:21:46,23084,106766,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
69,1029002242932834310,...really bad things. Nasty to people &amp; would constantly miss meetings &amp; work. When Gen. Kelly came on board he tol… ,2018-08-13 13:50:27,18293,80300,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
70,1028996374174593025,"Wacky Omarosa, who got fired 3 times on the Apprentice, now got fired for the last time. She never made it, never w… ",2018-08-13 13:27:08,20372,86956,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
71,1028633682918166528,“Seems like the Department of Justice (and FBI) had a program to keep Donald Trump from becoming President”.… ,2018-08-12 13:25:55,33652,106432,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
72,1028626569475051522,Many  owners plan to boycott the company if manufacturing moves overseas. Great! Most other companie… ,2018-08-12 12:57:39,18354,84040,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
73,1028620642529292289,". “Your paycheck is bigger, your pension is stronger.”   Unemployment numbers are bet… ",2018-08-12 12:34:06,22188,94854,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
74,1028618150944944129,".  “Bob Mueller, isn’t your whole investigation premised on a Fake Dossier, paid for by Hillary, creat… ",2018-08-12 12:24:12,24210,91478,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
75,1028458842345095169,Bikers for Trump at Bedminster earlier today. Thank you! ,2018-08-12 01:51:10,22611,99463,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
76,1028355187939987465,Hundreds of Bikers for Trump just joined me at Bedminster. Quite a scene - great people who truly love our Country!,2018-08-11 18:59:17,26313,133753,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
77,1028354010129027077,....Do you believe Nelly worked for Fusion and her husband STILL WORKS FOR THE DEPARTMENT OF “JUSTICE.” I have neve… ,2018-08-11 18:54:36,30349,106163,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
78,1028347518822825984,The big story that the Fake News Media refuses to report is lowlife Christopher Steele’s many meetings with Deputy… ,2018-08-11 18:28:48,25254,88477,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
79,1028275158342098944,I am proud to have fought for and secured the LOWEST African American and Hispanic unemployment rates in history. N… ,2018-08-11 13:41:16,36145,151845,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
80,1028271447632957441,The riots in Charlottesville a year ago resulted in senseless death and division. We must come together as a nation… ,2018-08-11 13:26:32,32969,136000,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
81,1028269328246947840,".....Will the FBI ever recover it’s once stellar reputation, so badly damaged by Comey, McCabe, Peter S and his lov… ",2018-08-11 13:18:06,25564,104696,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
82,1028269087133257728,Why isn’t the FBI giving Andrew McCabe text messages  to Judicial Watch or appropriate governmental authorities. FB… ,2018-08-11 13:17:09,22347,80598,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
83,1028056640422068225,Deal with Mexico is coming along nicely. Autoworkers and farmers must be taken care of or there will be no deal. Ne… ,2018-08-10 23:12:58,24784,101055,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
84,1028052897563590657,Thank you to Kanye West and the fact that he is willing to tell the TRUTH. One new and great FACT - African America… ,2018-08-10 22:58:05,35922,147988,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
85,1028050296151400453,"Had a very good phone call with  President of France. Discussed various subjects, in particular Sec… ",2018-08-10 22:47:45,16411,79700,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
86,1028030912095838208,"Democrats, please do not distance yourselves from Nancy Pelosi. She is a wonderful person whose ideas &amp; policies ma… ",2018-08-10 21:30:43,32669,141128,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
87,1027899286586109955,"I have just authorized a doubling of Tariffs on Steel and Aluminum with respect to Turkey as their currency, the Tu… ",2018-08-10 12:47:42,37856,122175,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
88,1027895506809364480,".....Be happy, be cool! A football game, that fans are paying soooo much money to watch and enjoy, is no place to p… ",2018-08-10 12:32:40,34565,170440,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
89,1027892043908046849,The NFL players are at it again - taking a knee when they should be standing proudly for the National Anthem. Numer… ,2018-08-10 12:18:55,25473,111367,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
90,1027884715553050625,.  “No evidence to launch even an investigation into potential collusion between Donald Trump and th… ,2018-08-10 11:49:48,18414,75930,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
91,1027688604578074626,Jenna Ellis  “FBI thought they wouldn’t get caught because they thought that Hillary was going to win. There is ove… ,2018-08-09 22:50:31,29466,112216,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
92,1027641518243414016,  “Why didn’t the FBI tell President Trump that they had concerns about Carter Page? Is there a dou… ,2018-08-09 19:43:25,6719,13654,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
